utt_id,n_words,duration_sec,what_they_said,stock_whisper_heard,cohear_heard,stock_wer,cohear_wer,stock_correct,cohear_correct,improved
M04_Session1_0112,1,0.604,swarm,its one,swarm,2.0,0.0,0,1,1
M04_Session2_0094,1,2.635,double,thats all,double,2.0,0.0,0,1,1
M04_Session1_0091,1,2.4,feet,see that,feet,2.0,0.0,0,1,1
M04_Session2_0172,6,12.62,my sister made the flowered curtains,my my my it took hugeapanmi the the flowering cotton din dinn,my sister made the flowers cut thin,1.667,0.5,0,0,1
M04_Session2_0166,1,2.825,witch,which,witch,1.0,0.0,0,1,1
M04_Session2_0017,1,3.13,storm,dumb,storm,1.0,0.0,0,1,1
M04_Session2_0113,1,2.15,knee,nyeh,knee,1.0,0.0,0,1,1
M04_Session2_0273,1,2.715,forward,porn,forward,1.0,0.0,0,1,1
M04_Session2_0121,1,3.445,warm,one,warm,1.0,0.0,0,1,1
M04_Session2_0090,1,3.65,warm,one,warm,1.0,0.0,0,1,1
M04_Session2_0086,1,2.955,read,what,read,1.0,0.0,0,1,1
M04_Session2_0056,1,2.22,sip,its sip,sip,1.0,0.0,0,1,1
M04_Session2_0070,1,2.6,feet,deet,feet,1.0,0.0,0,1,1
M04_Session2_0151,1,2.85,were,we are,wheel,2.0,1.0,0,0,1
M04_Session1_0073,1,3.45,dark,the duck,the dark,2.0,1.0,0,0,1
M04_Session1_0058,1,2.85,go,im go,go,1.0,0.0,0,1,1
M04_Session2_0043,1,2.245,meat,meet,meat,1.0,0.0,0,1,1
M04_Session2_0037,1,2.745,sip,zip,sip,1.0,0.0,0,1,1
M04_Session1_0092,1,2.4,lead,lady,lead,1.0,0.0,0,1,1
M04_Session2_0116,1,2.845,bubble,thats all,debble,2.0,1.0,0,0,1
M04_Session2_0211,1,2.765,tear,dear,tear,1.0,0.0,0,1,1
M04_Session2_0226,8,13.54,youd be better off taking a cold shower,you better better you you be be be better ah talking to thing like a culture,better you be better off talking to him culture,1.75,0.75,0,0,1
M04_Session2_0207,1,2.415,pay,bye,pay,1.0,0.0,0,1,1
M04_Session2_0291,12,17.41,nothing has been done yet to take advantage of the enabling legislation,nothing and been done and extended to take it and in the end im done they are all asleep,nothing has been done yet to take advantage of the near future,1.083,0.167,0,0,1
M04_Session2_0014,11,12.82,she had your dark suit in greasy wash water all year,see you at the next video,she has your dust in greasy white water all year,1.0,0.364,0,0,1
M04_Session2_0187,7,7.86,why yell or worry over silly items,what year are we going to the item,why are we over the items,1.143,0.571,0,0,1
M04_Session2_0038,9,10.57,the quick brown fox jumps over the lazy dog,that good brown fun jump over the lady dog,the quick brown fox jumps over the lazy dog,0.556,0.0,0,1,1
M04_Session2_0246,6,10.465,nothing is as offensive as innocence,nathin nathin nathin nathin,nothing is as effective as a human,1.0,0.5,0,0,1
M04_Session1_0076,10,12.6,dont ask me to carry an oily rag like that,i dont want to do cake and oil oil like that,dont ask me to change an oil rat like that,0.8,0.3,0,0,1
M04_Session2_0231,6,8.34,the train approached the depot slowly,the drink abounding than the divorce only,the train approaches the people slowly,0.833,0.333,0,0,1
M04_Session2_0283,7,7.525,it was a good win for us,iwo watakzin winfrah,it was a thin wing for a hand,1.0,0.571,0,0,1
M04_Session1_0084,8,12.6,you wished to know all about my grandfather,you you which didnt know all about my my grandfather,you wish to know all about my grandfather,0.5,0.125,0,0,1
M04_Session2_0194,14,16.19,if you destroy confidence in banks you do something to the economy he said,if you did the carpeting in vain you do something to die come and eat it,if you insist on confident in ban you do something to the economy he says,0.643,0.357,0,0,1
